GISJOIN,YEAR,STATE,STATEA,COUNTY,TRACTA,BLKGRPA,NAME_E,AF2ME001,AF2ME002,AF2ME003,AF2ME004,AF2ME005,AF2ME006,AF2ME007,AF2ME008,AF2ME009,AF2ME010,AF2UE001,AF2UE002,AF2UE003,AF2UE004,AF2UE005,AF2UE006,AF2UE007,AF2UE008,AF2UE009,AF2UE010,AF2UE011,AF2UE012,AF2UE013,AF2UE014,AF2UE015,AF2UE016,AF2UE017,AF2UE018,AF2UE019,AF2UE020,AF2UE021,NAME_M,AF2UM009,AF2UM010,AF2UM011,AF2UM012,AF2UM013,AF2UM014,AF2UM015,AF2UM016,AF2UM017,AF2UM018,AF2UM019,AF2UM020,AF2UM021
G08000100078011,2012-2016,Colorado,8,Adams County,7801,1,"Block Group 1, Census Tract 78.01, Adams County, Colorado",1894,1006,250,0,44,0,551,43,0,43,1894,586,249,250,0,44,0,0,43,0,43,1308,757,0,0,0,0,551,0,0,0,"Block Group 1, Census Tract 78.01, Adams County, Colorado",41,11,41,437,356,11,11,11,11,364,11,11,11
G08000100078012,2012-2016,Colorado,8,Adams County,7801,2,"Block Group 2, Census Tract 78.01, Adams County, Colorado",2480,967,287,15,790,0,368,53,0,53,2480,1482,307,287,4,790,0,41,53,0,53,998,660,0,11,0,0,327,0,0,0,"Block Group 2, Census Tract 78.01, Adams County, Colorado",52,11,52,455,304,11,16,11,11,285,11,11,11
G08000100078021,2012-2016,Colorado,8,Adams County,7802,1,"Block Group 1, Census Tract 78.02, Adams County, Colorado",1601,684,589,46,43,0,131,108,81,27,1601,855,177,589,36,43,0,0,10,0,10,746,507,0,10,0,0,131,98,81,17,"Block Group 1, Census Tract 78.02, Adams County, Colorado",15,11,15,311,310,11,17,11,11,108,102,83,23
G08000100078022,2012-2016,Colorado,8,Adams County,7802,2,"Block Group 2, Census Tract 78.02, Adams County, Colorado",1239,607,232,8,72,0,308,12,0,12,1239,451,148,217,7,72,0,0,7,0,7,788,459,15,1,0,0,308,5,0,5,"Block Group 2, Census Tract 78.02, Adams County, Colorado",14,11,14,301,242,23,2,11,11,207,10,11,10
G08000100078023,2012-2016,Colorado,8,Adams County,7802,3,"Block Group 3, Census Tract 78.02, Adams County, Colorado",1656,721,98,0,60,0,659,118,118,0,1656,404,100,98,0,60,0,28,118,118,0,1252,621,0,0,0,0,631,0,0,0,"Block Group 3, Census Tract 78.02, Adams County, Colorado",127,127,11,375,345,11,11,11,11,259,11,11,11
G08000100079001,2012-2016,Colorado,8,Adams County,7900,1,"Block Group 1, Census Tract 79, Adams County, Colorado",1961,891,232,72,20,0,389,357,82,275,1961,901,421,232,62,20,0,15,151,0,151,1060,470,0,10,0,0,374,206,82,124,"Block Group 1, Census Tract 79, Adams County, Colorado",86,11,86,346,271,11,17,11,11,209,210,83,137
G08000100079002,2012-2016,Colorado,8,Adams County,7900,2,"Block Group 2, Census Tract 79, Adams County, Colorado",699,382,117,50,12,0,114,24,0,24,699,311,128,117,0,12,0,30,24,0,24,388,254,0,50,0,0,84,0,0,0,"Block Group 2, Census Tract 79, Adams County, Colorado",26,11,26,169,157,11,77,11,11,101,11,11,11
G08000100079003,2012-2016,Colorado,8,Adams County,7900,3,"Block Group 3, Census Tract 79, Adams County, Colorado",920,443,77,37,66,0,254,43,43,0,920,361,218,77,0,66,0,0,0,0,0,559,225,0,37,0,0,254,43,43,0,"Block Group 3, Census Tract 79, Adams County, Colorado",11,11,11,228,215,11,58,11,11,190,51,51,11
G08000100079004,2012-2016,Colorado,8,Adams County,7900,4,"Block Group 4, Census Tract 79, Adams County, Colorado",2051,849,445,27,102,0,591,37,10,27,2051,773,192,433,27,102,0,0,19,0,19,1278,657,12,0,0,0,591,18,10,8,"Block Group 4, Census Tract 79, Adams County, Colorado",26,11,26,372,329,20,11,11,11,280,19,15,12
G08000100080001,2012-2016,Colorado,8,Adams County,8000,1,"Block Group 1, Census Tract 80, Adams County, Colorado",591,173,343,0,0,0,44,31,20,11,591,462,108,343,0,0,0,0,11,0,11,129,65,0,0,0,0,44,20,20,0,"Block Group 1, Census Tract 80, Adams County, Colorado",20,11,20,138,69,11,11,11,11,49,33,33,11
G08000100080002,2012-2016,Colorado,8,Adams County,8000,2,"Block Group 2, Census Tract 80, Adams County, Colorado",1126,755,154,21,0,0,148,48,0,48,1126,659,438,154,21,0,0,5,41,0,41,467,317,0,0,0,0,143,7,0,7,"Block Group 2, Census Tract 80, Adams County, Colorado",48,11,48,209,175,11,11,11,11,143,11,11,11
G08000100080003,2012-2016,Colorado,8,Adams County,8000,3,"Block Group 3, Census Tract 80, Adams County, Colorado",1038,757,123,32,20,0,77,29,23,6,1038,423,244,123,32,20,0,0,4,4,0,615,513,0,0,0,0,77,25,19,6,"Block Group 3, Census Tract 80, Adams County, Colorado",8,8,11,463,463,11,11,11,11,88,34,33,11
G08000100080004,2012-2016,Colorado,8,Adams County,8000,4,"Block Group 4, Census Tract 80, Adams County, Colorado",883,138,513,0,0,0,214,18,18,0,883,644,131,513,0,0,0,0,0,0,0,239,7,0,0,0,0,214,18,18,0,"Block Group 4, Census Tract 80, Adams County, Colorado",11,11,11,260,14,11,11,11,11,254,31,31,11
G08000100080005,2012-2016,Colorado,8,Adams County,8000,5,"Block Group 5, Census Tract 80, Adams County, Colorado",1296,619,0,6,183,0,474,14,0,14,1296,419,222,0,0,183,0,0,14,0,14,877,397,0,6,0,0,474,0,0,0,"Block Group 5, Census Tract 80, Adams County, Colorado",22,11,22,537,394,11,12,11,11,408,11,11,11
G08000100080006,2012-2016,Colorado,8,Adams County,8000,6,"Block Group 6, Census Tract 80, Adams County, Colorado",1289,687,186,65,0,0,342,9,9,0,1289,544,358,186,0,0,0,0,0,0,0,745,329,0,65,0,0,342,9,9,0,"Block Group 6, Census Tract 80, Adams County, Colorado",11,11,11,434,402,11,105,11,11,228,14,14,11
G08000100081001,2012-2016,Colorado,8,Adams County,8100,1,"Block Group 1, Census Tract 81, Adams County, Colorado",1343,1087,45,0,44,0,101,66,0,66,1343,1062,910,45,0,44,0,0,63,0,63,281,177,0,0,0,0,101,3,0,3,"Block Group 1, Census Tract 81, Adams County, Colorado",60,11,60,121,93,11,11,11,11,72,6,11,6
G08000100082001,2012-2016,Colorado,8,Adams County,8200,1,"Block Group 1, Census Tract 82, Adams County, Colorado",2428,1538,419,143,0,22,160,146,0,146,2428,1530,850,393,0,0,22,139,126,0,126,898,688,26,143,0,0,21,20,0,20,"Block Group 1, Census Tract 82, Adams County, Colorado",119,11,119,333,317,32,243,11,11,27,30,11,30
G08000100082002,2012-2016,Colorado,8,Adams County,8200,2,"Block Group 2, Census Tract 82, Adams County, Colorado",2091,1247,295,19,147,0,142,241,0,241,2091,1403,814,269,0,145,0,58,117,0,117,688,433,26,19,2,0,84,124,0,124,"Block Group 2, Census Tract 82, Adams County, Colorado",124,11,124,379,329,31,31,7,11,84,143,11,143
G08000100082003,2012-2016,Colorado,8,Adams County,8200,3,"Block Group 3, Census Tract 82, Adams County, Colorado",1010,640,183,8,0,0,179,0,0,0,1010,366,175,183,8,0,0,0,0,0,0,644,465,0,0,0,0,179,0,0,0,"Block Group 3, Census Tract 82, Adams County, Colorado",11,11,11,316,279,11,11,11,11,187,11,11,11
G08000100083081,2012-2016,Colorado,8,Adams County,8308,1,"Block Group 1, Census Tract 83.08, Adams County, Colorado",1117,637,81,184,97,0,70,48,12,36,1117,761,363,81,184,97,0,0,36,0,36,356,274,0,0,0,0,70,12,12,0,"Block Group 1, Census Tract 83.08, Adams County, Colorado",34,11,34,257,260,11,11,11,11,77,22,22,11
G08000100083082,2012-2016,Colorado,8,Adams County,8308,2,"Block Group 2, Census Tract 83.08, Adams County, Colorado",1739,1020,153,41,9,0,470,46,26,20,1739,703,487,153,34,9,0,0,20,0,20,1036,533,0,7,0,0,470,26,26,0,"Block Group 2, Census Tract 83.08, Adams County, Colorado",29,11,29,419,275,11,11,11,11,408,44,44,11
G08000100083083,2012-2016,Colorado,8,Adams County,8308,3,"Block Group 3, Census Tract 83.08, Adams County, Colorado",2590,1209,867,14,263,0,214,23,0,23,2590,1803,645,867,5,263,0,0,23,0,23,787,564,0,9,0,0,214,0,0,0,"Block Group 3, Census Tract 83.08, Adams County, Colorado",29,11,29,346,274,11,15,11,11,211,11,11,11
G08000100083091,2012-2016,Colorado,8,Adams County,8309,1,"Block Group 1, Census Tract 83.09, Adams County, Colorado",154,75,0,0,0,0,79,0,0,0,154,75,75,0,0,0,0,0,0,0,0,79,0,0,0,0,0,79,0,0,0,"Block Group 1, Census Tract 83.09, Adams County, Colorado",11,11,11,127,11,11,11,11,11,127,11,11,11
G08000100083092,2012-2016,Colorado,8,Adams County,8309,2,"Block Group 2, Census Tract 83.09, Adams County, Colorado",1925,893,121,0,0,0,911,0,0,0,1925,359,273,86,0,0,0,0,0,0,0,1566,620,35,0,0,0,911,0,0,0,"Block Group 2, Census Tract 83.09, Adams County, Colorado",11,11,11,477,294,51,11,11,11,430,11,11,11
G08000100083093,2012-2016,Colorado,8,Adams County,8309,3,"Block Group 3, Census Tract 83.09, Adams County, Colorado",1724,890,269,0,41,81,366,77,0,77,1724,729,324,185,0,41,81,21,77,0,77,995,566,84,0,0,0,345,0,0,0,"Block Group 3, Census Tract 83.09, Adams County, Colorado",70,11,70,363,279,143,11,11,11,255,11,11,11
G08000100083531,2012-2016,Colorado,8,Adams County,8353,1,"Block Group 1, Census Tract 83.53, Adams County, Colorado",59,59,0,0,0,0,0,0,0,0,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 83.53, Adams County, Colorado",11,11,11,11,11,11,11,11,11,11,11,11,11
G08000100083532,2012-2016,Colorado,8,Adams County,8353,2,"Block Group 2, Census Tract 83.53, Adams County, Colorado",2563,1434,824,0,183,0,0,122,0,122,2563,2037,1047,700,0,183,0,0,107,0,107,526,387,124,0,0,0,0,15,0,15,"Block Group 2, Census Tract 83.53, Adams County, Colorado",115,11,115,256,206,136,11,11,11,11,24,11,24
G08000100083533,2012-2016,Colorado,8,Adams County,8353,3,"Block Group 3, Census Tract 83.53, Adams County, Colorado",1023,731,84,0,34,0,154,20,0,20,1023,458,340,84,0,34,0,0,0,0,0,565,391,0,0,0,0,154,20,0,20,"Block Group 3, Census Tract 83.53, Adams County, Colorado",11,11,11,394,349,11,11,11,11,211,35,11,35
G08000100083534,2012-2016,Colorado,8,Adams County,8353,4,"Block Group 4, Census Tract 83.53, Adams County, Colorado",2052,1393,83,44,118,0,324,90,0,90,2052,860,591,83,44,118,0,0,24,0,24,1192,802,0,0,0,0,324,66,0,66,"Block Group 4, Census Tract 83.53, Adams County, Colorado",40,11,40,457,477,11,11,11,11,221,101,11,101
G08000100083535,2012-2016,Colorado,8,Adams County,8353,5,"Block Group 5, Census Tract 83.53, Adams County, Colorado",889,867,0,0,0,0,22,0,0,0,889,608,608,0,0,0,0,0,0,0,0,281,259,0,0,0,0,22,0,0,0,"Block Group 5, Census Tract 83.53, Adams County, Colorado",11,11,11,239,237,11,11,11,11,32,11,11,11
G08000100084011,2012-2016,Colorado,8,Adams County,8401,1,"Block Group 1, Census Tract 84.01, Adams County, Colorado",2529,2382,17,0,28,0,81,21,15,6,2529,2108,2057,17,0,28,0,0,6,0,6,421,325,0,0,0,0,81,15,15,0,"Block Group 1, Census Tract 84.01, Adams County, Colorado",10,11,10,214,226,11,11,11,11,139,22,22,11
G08000100084012,2012-2016,Colorado,8,Adams County,8401,2,"Block Group 2, Census Tract 84.01, Adams County, Colorado",1878,1711,7,40,16,0,61,43,19,24,1878,1656,1575,7,40,16,0,0,18,0,18,222,136,0,0,0,0,61,25,19,6,"Block Group 2, Census Tract 84.01, Adams County, Colorado",17,11,17,135,121,11,11,11,11,63,31,31,9
G08000100084021,2012-2016,Colorado,8,Adams County,8402,1,"Block Group 1, Census Tract 84.02, Adams County, Colorado",3024,2864,0,58,0,0,90,12,0,12,3024,2800,2652,0,58,0,0,78,12,0,12,224,212,0,0,0,0,12,0,0,0,"Block Group 1, Census Tract 84.02, Adams County, Colorado",15,11,15,121,120,11,11,11,11,18,11,11,11
G08000100084022,2012-2016,Colorado,8,Adams County,8402,2,"Block Group 2, Census Tract 84.02, Adams County, Colorado",1691,1504,0,0,0,0,67,120,0,120,1691,1519,1364,0,0,0,0,35,120,0,120,172,140,0,0,0,0,32,0,0,0,"Block Group 2, Census Tract 84.02, Adams County, Colorado",126,11,126,160,148,11,11,11,11,52,11,11,11
G08000100085051,2012-2016,Colorado,8,Adams County,8505,1,"Block Group 1, Census Tract 85.05, Adams County, Colorado",884,837,0,0,0,0,14,33,0,33,884,581,581,0,0,0,0,0,0,0,0,303,256,0,0,0,0,14,33,0,33,"Block Group 1, Census Tract 85.05, Adams County, Colorado",11,11,11,271,274,11,11,11,11,22,53,11,53
G08000100085052,2012-2016,Colorado,8,Adams County,8505,2,"Block Group 2, Census Tract 85.05, Adams County, Colorado",1078,1015,63,0,0,0,0,0,0,0,1078,669,606,63,0,0,0,0,0,0,0,409,409,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 85.05, Adams County, Colorado",11,11,11,214,214,11,11,11,11,11,11,11,11
G08000100085053,2012-2016,Colorado,8,Adams County,8505,3,"Block Group 3, Census Tract 85.05, Adams County, Colorado",1647,1549,42,0,22,0,0,34,14,20,1647,1047,1005,42,0,0,0,0,0,0,0,600,544,0,0,22,0,0,34,14,20,"Block Group 3, Census Tract 85.05, Adams County, Colorado",11,11,11,324,304,11,11,35,11,11,38,22,32
G08000100085054,2012-2016,Colorado,8,Adams County,8505,4,"Block Group 4, Census Tract 85.05, Adams County, Colorado",1255,1066,0,0,76,0,113,0,0,0,1255,1122,1046,0,0,76,0,0,0,0,0,133,20,0,0,0,0,113,0,0,0,"Block Group 4, Census Tract 85.05, Adams County, Colorado",11,11,11,139,35,11,11,11,11,138,11,11,11
G08000100085055,2012-2016,Colorado,8,Adams County,8505,5,"Block Group 5, Census Tract 85.05, Adams County, Colorado",972,972,0,0,0,0,0,0,0,0,972,902,902,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,"Block Group 5, Census Tract 85.05, Adams County, Colorado",11,11,11,80,80,11,11,11,11,11,11,11,11
G08000100085056,2012-2016,Colorado,8,Adams County,8505,6,"Block Group 6, Census Tract 85.05, Adams County, Colorado",1068,982,0,0,0,0,16,70,70,0,1068,788,788,0,0,0,0,0,0,0,0,280,194,0,0,0,0,16,70,70,0,"Block Group 6, Census Tract 85.05, Adams County, Colorado",11,11,11,186,161,11,11,11,11,26,111,111,11
G08000100085061,2012-2016,Colorado,8,Adams County,8506,1,"Block Group 1, Census Tract 85.06, Adams County, Colorado",1427,1337,13,12,65,0,0,0,0,0,1427,1103,1013,13,12,65,0,0,0,0,0,324,324,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 85.06, Adams County, Colorado",11,11,11,276,276,11,11,11,11,11,11,11,11
G08000100085062,2012-2016,Colorado,8,Adams County,8506,2,"Block Group 2, Census Tract 85.06, Adams County, Colorado",1047,1008,39,0,0,0,0,0,0,0,1047,685,646,39,0,0,0,0,0,0,0,362,362,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 85.06, Adams County, Colorado",11,11,11,340,340,11,11,11,11,11,11,11,11
G08000100085063,2012-2016,Colorado,8,Adams County,8506,3,"Block Group 3, Census Tract 85.06, Adams County, Colorado",3310,2883,203,10,86,0,13,115,21,94,3310,1899,1636,193,10,60,0,0,0,0,0,1411,1247,10,0,26,0,13,115,21,94,"Block Group 3, Census Tract 85.06, Adams County, Colorado",11,11,11,488,455,18,11,41,11,21,97,34,90
G08000100085064,2012-2016,Colorado,8,Adams County,8506,4,"Block Group 4, Census Tract 85.06, Adams County, Colorado",581,555,9,0,0,0,13,4,0,4,581,519,506,9,0,0,0,0,4,0,4,62,49,0,0,0,0,13,0,0,0,"Block Group 4, Census Tract 85.06, Adams County, Colorado",10,11,10,52,45,11,11,11,11,32,11,11,11
G08000100085071,2012-2016,Colorado,8,Adams County,8507,1,"Block Group 1, Census Tract 85.07, Adams County, Colorado",2204,1949,24,0,0,0,188,43,17,26,2204,1376,1340,24,0,0,0,0,12,0,12,828,609,0,0,0,0,188,31,17,14,"Block Group 1, Census Tract 85.07, Adams County, Colorado",21,11,21,349,303,11,11,11,11,221,36,26,24
G08000100085072,2012-2016,Colorado,8,Adams County,8507,2,"Block Group 2, Census Tract 85.07, Adams County, Colorado",1364,1264,0,0,0,0,0,100,100,0,1364,612,612,0,0,0,0,0,0,0,0,752,652,0,0,0,0,0,100,100,0,"Block Group 2, Census Tract 85.07, Adams County, Colorado",11,11,11,417,378,11,11,11,11,11,158,158,11
G08000100085073,2012-2016,Colorado,8,Adams County,8507,3,"Block Group 3, Census Tract 85.07, Adams County, Colorado",974,577,0,0,0,0,365,32,13,19,974,505,505,0,0,0,0,0,0,0,0,469,72,0,0,0,0,365,32,13,19,"Block Group 3, Census Tract 85.07, Adams County, Colorado",11,11,11,469,118,11,11,11,11,450,38,23,31
G08000100085074,2012-2016,Colorado,8,Adams County,8507,4,"Block Group 4, Census Tract 85.07, Adams County, Colorado",1061,934,0,30,15,0,25,57,26,31,1061,850,774,0,30,15,0,0,31,0,31,211,160,0,0,0,0,25,26,26,0,"Block Group 4, Census Tract 85.07, Adams County, Colorado",50,11,50,165,141,11,11,11,11,39,42,42,11
G08000100085075,2012-2016,Colorado,8,Adams County,8507,5,"Block Group 5, Census Tract 85.07, Adams County, Colorado",1399,1267,42,0,48,0,0,42,0,42,1399,968,843,35,0,48,0,0,42,0,42,431,424,7,0,0,0,0,0,0,0,"Block Group 5, Census Tract 85.07, Adams County, Colorado",67,11,67,512,510,14,11,11,11,11,11,11,11
G08000100085081,2012-2016,Colorado,8,Adams County,8508,1,"Block Group 1, Census Tract 85.08, Adams County, Colorado",977,938,0,0,7,0,17,15,0,15,977,798,783,0,0,7,0,0,8,0,8,179,155,0,0,0,0,17,7,0,7,"Block Group 1, Census Tract 85.08, Adams County, Colorado",14,11,14,120,110,11,11,11,11,19,14,11,14
G08000100085082,2012-2016,Colorado,8,Adams County,8508,2,"Block Group 2, Census Tract 85.08, Adams County, Colorado",2702,2340,10,0,261,0,75,16,0,16,2702,1978,1736,10,0,216,0,0,16,0,16,724,604,0,0,45,0,75,0,0,0,"Block Group 2, Census Tract 85.08, Adams County, Colorado",27,11,27,320,316,11,11,57,11,64,11,11,11
G08000100085083,2012-2016,Colorado,8,Adams County,8508,3,"Block Group 3, Census Tract 85.08, Adams County, Colorado",2137,1903,33,44,48,0,49,60,0,60,2137,1549,1346,33,44,48,0,18,60,0,60,588,557,0,0,0,0,31,0,0,0,"Block Group 3, Census Tract 85.08, Adams County, Colorado",89,11,89,276,272,11,11,11,11,37,11,11,11
G08000100085231,2012-2016,Colorado,8,Adams County,8523,1,"Block Group 1, Census Tract 85.23, Adams County, Colorado",303,285,0,0,0,0,18,0,0,0,303,285,285,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,"Block Group 1, Census Tract 85.23, Adams County, Colorado",11,11,11,28,11,11,11,11,11,28,11,11,11
G08000100085232,2012-2016,Colorado,8,Adams County,8523,2,"Block Group 2, Census Tract 85.23, Adams County, Colorado",4143,3816,263,0,0,0,10,54,0,54,4143,3526,3209,263,0,0,0,0,54,0,54,617,607,0,0,0,0,10,0,0,0,"Block Group 2, Census Tract 85.23, Adams County, Colorado",59,11,59,334,333,11,11,11,11,17,11,11,11
G08000100085233,2012-2016,Colorado,8,Adams County,8523,3,"Block Group 3, Census Tract 85.23, Adams County, Colorado",3174,2918,27,8,0,0,97,124,44,80,3174,2229,2114,27,8,0,0,0,80,0,80,945,804,0,0,0,0,97,44,44,0,"Block Group 3, Census Tract 85.23, Adams County, Colorado",81,11,81,460,462,11,11,11,11,106,73,73,11
G08000100085234,2012-2016,Colorado,8,Adams County,8523,4,"Block Group 4, Census Tract 85.23, Adams County, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 85.23, Adams County, Colorado",11,11,11,11,11,11,11,11,11,11,11,11,11
G08000100085241,2012-2016,Colorado,8,Adams County,8524,1,"Block Group 1, Census Tract 85.24, Adams County, Colorado",2041,1681,28,33,281,0,18,0,0,0,2041,1642,1330,13,18,281,0,0,0,0,0,399,351,15,15,0,0,18,0,0,0,"Block Group 1, Census Tract 85.24, Adams County, Colorado",11,11,11,174,178,25,25,11,11,28,11,11,11
G08000100085242,2012-2016,Colorado,8,Adams County,8524,2,"Block Group 2, Census Tract 85.24, Adams County, Colorado",1354,1248,0,0,0,0,21,85,0,85,1354,1156,1071,0,0,0,0,0,85,0,85,198,177,0,0,0,0,21,0,0,0,"Block Group 2, Census Tract 85.24, Adams County, Colorado",139,11,139,150,150,11,11,11,11,45,11,11,11
G08000100085243,2012-2016,Colorado,8,Adams County,8524,3,"Block Group 3, Census Tract 85.24, Adams County, Colorado",1397,1047,196,0,79,0,11,64,0,64,1397,1155,816,196,0,79,0,0,64,0,64,242,231,0,0,0,0,11,0,0,0,"Block Group 3, Census Tract 85.24, Adams County, Colorado",104,11,104,131,129,11,11,11,11,20,11,11,11
G08000100085244,2012-2016,Colorado,8,Adams County,8524,4,"Block Group 4, Census Tract 85.24, Adams County, Colorado",1510,1322,0,0,13,0,46,129,0,129,1510,1240,1098,0,0,13,0,0,129,0,129,270,224,0,0,0,0,46,0,0,0,"Block Group 4, Census Tract 85.24, Adams County, Colorado",112,11,112,186,169,11,11,11,11,79,11,11,11
G08000100085245,2012-2016,Colorado,8,Adams County,8524,5,"Block Group 5, Census Tract 85.24, Adams County, Colorado",1802,1476,106,0,159,0,14,47,0,47,1802,1247,1041,0,0,159,0,0,47,0,47,555,435,106,0,0,0,14,0,0,0,"Block Group 5, Census Tract 85.24, Adams County, Colorado",82,11,82,488,373,165,11,11,11,24,11,11,11
G08000100085261,2012-2016,Colorado,8,Adams County,8526,1,"Block Group 1, Census Tract 85.26, Adams County, Colorado",1481,1246,18,46,89,0,12,70,0,70,1481,1111,977,18,0,89,0,0,27,0,27,370,269,0,46,0,0,12,43,0,43,"Block Group 1, Census Tract 85.26, Adams County, Colorado",35,11,35,247,232,11,73,11,11,21,65,11,65
G08000100085262,2012-2016,Colorado,8,Adams County,8526,2,"Block Group 2, Census Tract 85.26, Adams County, Colorado",1569,1487,0,0,0,0,64,18,0,18,1569,1406,1388,0,0,0,0,0,18,0,18,163,99,0,0,0,0,64,0,0,0,"Block Group 2, Census Tract 85.26, Adams County, Colorado",30,11,30,131,102,11,11,11,11,106,11,11,11
G08000100085263,2012-2016,Colorado,8,Adams County,8526,3,"Block Group 3, Census Tract 85.26, Adams County, Colorado",1283,1058,9,0,216,0,0,0,0,0,1283,1180,955,9,0,216,0,0,0,0,0,103,103,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 85.26, Adams County, Colorado",11,11,11,152,152,11,11,11,11,11,11,11,11
G08000100085264,2012-2016,Colorado,8,Adams County,8526,4,"Block Group 4, Census Tract 85.26, Adams County, Colorado",918,703,54,14,71,0,13,63,0,63,918,786,629,54,0,71,0,0,32,0,32,132,74,0,14,0,0,13,31,0,31,"Block Group 4, Census Tract 85.26, Adams County, Colorado",41,11,41,89,89,11,22,11,11,20,51,11,51
G08000100085265,2012-2016,Colorado,8,Adams County,8526,5,"Block Group 5, Census Tract 85.26, Adams County, Colorado",1459,1299,149,0,0,0,0,11,11,0,1459,1341,1181,149,0,0,0,0,11,11,0,118,118,0,0,0,0,0,0,0,0,"Block Group 5, Census Tract 85.26, Adams County, Colorado",19,19,11,125,125,11,11,11,11,11,11,11,11
G08000100085291,2012-2016,Colorado,8,Adams County,8529,1,"Block Group 1, Census Tract 85.29, Adams County, Colorado",2265,1739,25,0,434,0,0,67,0,67,2265,2092,1633,25,0,434,0,0,0,0,0,173,106,0,0,0,0,0,67,0,67,"Block Group 1, Census Tract 85.29, Adams County, Colorado",11,11,11,144,86,11,11,11,11,11,129,11,129
G08000100085292,2012-2016,Colorado,8,Adams County,8529,2,"Block Group 2, Census Tract 85.29, Adams County, Colorado",2924,2448,79,19,108,0,168,102,0,102,2924,2271,2018,79,0,108,0,66,0,0,0,653,430,0,19,0,0,102,102,0,102,"Block Group 2, Census Tract 85.29, Adams County, Colorado",11,11,11,498,417,11,30,11,11,128,168,11,168
G08000100085293,2012-2016,Colorado,8,Adams County,8529,3,"Block Group 3, Census Tract 85.29, Adams County, Colorado",2307,2163,28,54,8,0,38,16,0,16,2307,1645,1593,28,0,8,0,0,16,0,16,662,570,0,54,0,0,38,0,0,0,"Block Group 3, Census Tract 85.29, Adams County, Colorado",27,11,27,347,329,11,90,11,11,62,11,11,11
G08000100085331,2012-2016,Colorado,8,Adams County,8533,1,"Block Group 1, Census Tract 85.33, Adams County, Colorado",3705,3292,0,68,115,0,100,130,0,130,3705,2504,2294,0,0,115,0,0,95,0,95,1201,998,0,68,0,0,100,35,0,35,"Block Group 1, Census Tract 85.33, Adams County, Colorado",113,11,113,593,569,11,82,11,11,86,55,11,55
G08000100085332,2012-2016,Colorado,8,Adams County,8533,2,"Block Group 2, Census Tract 85.33, Adams County, Colorado",4532,4083,131,14,19,0,156,129,58,71,4532,3132,2990,103,0,19,0,0,20,0,20,1400,1093,28,14,0,0,156,109,58,51,"Block Group 2, Census Tract 85.33, Adams County, Colorado",32,11,32,497,498,34,23,11,11,148,103,74,63
G08000100085341,2012-2016,Colorado,8,Adams County,8534,1,"Block Group 1, Census Tract 85.34, Adams County, Colorado",2094,1974,0,0,29,0,20,71,0,71,2094,1473,1382,0,0,29,0,0,62,0,62,621,592,0,0,0,0,20,9,0,9,"Block Group 1, Census Tract 85.34, Adams County, Colorado",60,11,60,295,299,11,11,11,11,32,15,11,15
G08000100085342,2012-2016,Colorado,8,Adams County,8534,2,"Block Group 2, Census Tract 85.34, Adams County, Colorado",1132,954,8,0,7,0,9,154,20,134,1132,809,692,8,0,7,0,0,102,0,102,323,262,0,0,0,0,9,52,20,32,"Block Group 2, Census Tract 85.34, Adams County, Colorado",100,11,100,166,142,11,11,11,11,14,55,22,50
G08000100085343,2012-2016,Colorado,8,Adams County,8534,3,"Block Group 3, Census Tract 85.34, Adams County, Colorado",1521,1380,0,0,55,0,10,76,0,76,1521,1179,1066,0,0,55,0,0,58,0,58,342,314,0,0,0,0,10,18,0,18,"Block Group 3, Census Tract 85.34, Adams County, Colorado",60,11,60,217,215,11,11,11,11,16,28,11,28
G08000100085351,2012-2016,Colorado,8,Adams County,8535,1,"Block Group 1, Census Tract 85.35, Adams County, Colorado",3784,3367,24,60,109,0,121,103,0,103,3784,2067,1832,24,0,99,0,28,84,0,84,1717,1535,0,60,10,0,93,19,0,19,"Block Group 1, Census Tract 85.35, Adams County, Colorado",61,11,61,469,522,11,79,17,11,104,34,11,34
G08000100085361,2012-2016,Colorado,8,Adams County,8536,1,"Block Group 1, Census Tract 85.36, Adams County, Colorado",2797,2449,33,9,150,0,63,93,11,82,2797,2108,1843,33,9,150,0,0,73,0,73,689,606,0,0,0,0,63,20,11,9,"Block Group 1, Census Tract 85.36, Adams County, Colorado",52,11,52,150,159,11,11,11,11,60,20,12,15
G08000100085371,2012-2016,Colorado,8,Adams County,8537,1,"Block Group 1, Census Tract 85.37, Adams County, Colorado",6896,5929,80,149,144,0,164,430,18,412,6896,4653,4177,55,38,123,0,0,260,0,260,2243,1752,25,111,21,0,164,170,18,152,"Block Group 1, Census Tract 85.37, Adams County, Colorado",174,16,174,316,273,38,140,33,16,120,205,21,205
